location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Sullivan's Gulch,97232,,,1/13/20,2315,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Woodlawn,97211,,,8/8/20,1330,Larceny Offenses,5,,,All Other Larceny,1,
Lloyd,97232,,,9/21/20,1600,Vandalism,4,,,Vandalism,1,
Lloyd,97232,,,10/21/20,1102,Vandalism,4,,,Vandalism,1,
Irvington,97212,,,1/21/20,800,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Irvington,97212,,,11/12/19,621,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Irvington,97212,,,9/8/20,2300,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Irvington,97212,,,9/15/20,130,Larceny Offenses,5,,,Theft From Building,1,
Irvington,97212,,,10/23/20,430,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Irvington,97212,,,10/24/20,2035,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Woodlawn,97211,,,4/14/20,1844,Vandalism,4,,,Vandalism,1,
Woodlawn,97211,,,9/22/20,645,Larceny Offenses,5,,,Theft From Building,1,
Vernon,97211,,,7/21/20,845,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Vernon,97211,,,4/1/20,2338,Larceny Offenses,5,,,Shoplifting,1,
Vernon,97211,,,4/21/20,35,Assault Offenses,10,,,Aggravated Assault,1,
Vernon,97211,,,5/6/20,221,Assault Offenses,10,,,Simple Assault,1,
Vernon,97211,,,5/16/20,2000,Assault Offenses,10,,,Aggravated Assault,1,
Vernon,97211,,,7/22/20,1800,Assault Offenses,10,,,Simple Assault,1,
Vernon,97211,,,11/17/20,1402,Larceny Offenses,5,,,Shoplifting,1,
Vernon,97211,,,11/29/20,332,Robbery,8,,,Robbery,1,
Vernon,97211,,,10/27/20,1324,Larceny Offenses,5,,,Shoplifting,1,
Vernon,97211,,,11/17/20,1416,Larceny Offenses,5,,,Shoplifting,1,
Woodlawn,97211,,,10/22/20,1930,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
East Columbia,97211,,,10/17/20,2100,Burglary,10,,,Burglary,1,
Lloyd,97232,,,2/7/20,735,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Lloyd,97232,,,5/26/20,321,Burglary,10,,,Burglary,1,
Lloyd,97232,,,6/11/20,640,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Lloyd,97232,,,1/24/20,1500,Vandalism,4,,,Vandalism,1,
Lloyd,97232,,,10/31/20,2000,Vandalism,4,,,Vandalism,1,
Sabin,97211,,,11/29/20,1102,Larceny Offenses,5,,,All Other Larceny,1,
Woodlawn,97211,,,1/3/20,2200,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Woodlawn,97211,,,4/3/20,1155,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Sullivan's Gulch,97232,,,1/3/20,1815,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sullivan's Gulch,97232,,,1/4/20,1030,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sullivan's Gulch,97232,,,3/8/20,2139,Arson,10,,,Arson,1,
