location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Goose Hollow,97204,,,9/13/20,930,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
South Burlingame,97219,,,4/24/20,1632,Larceny Offenses,5,,,All Other Larceny,1,
Goose Hollow,97204,,,6/15/20,1,Larceny Offenses,5,,,Theft From Building,1,
Goose Hollow,97204,,,8/5/20,2148,Vandalism,4,,,Vandalism,1,
Goose Hollow,97204,,,9/10/20,1400,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Goose Hollow,97204,,,7/6/20,0,Burglary,10,,,Burglary,1,
Goose Hollow,97204,,,3/8/20,2100,Larceny Offenses,5,,,All Other Larceny,1,
Goose Hollow,97204,,,6/4/20,2000,Burglary,10,,,Burglary,1,
Goose Hollow,97204,,,9/14/20,1525,Vandalism,4,,,Vandalism,1,
Goose Hollow,97204,,,4/4/20,421,Burglary,10,,,Burglary,1,
